Designator,Mid X,Mid Y,Rotation,Layer
C1,132.6896,-95.5548,270.0,top
C101,151.25,-109.5,180.0,top
C102,147.15,-95.7,180.0,top
C103,144.3,-105.8,90.0,top
C104,151.0,-104.0,180.0,top
C105,144.8,-98.0,270.0,top
C106,142.0,-94.0,90.0,top
C107,148.25,-109.5,0.0,top
C108,141.75,-104.25,180.0,top
C109,141.8,-99.4,0.0,top
C112,154.0,-101.0,70.0,top
C113,159.25,-99.5,0.0,top
C114,155.2,-92.6,45.0,top
C115,145.5,-103.0,0.0,top
C3,136.398,-98.7552,180.0,top
C4,136.398,-100.7872,180.0,top
C5,139.8016,-99.314,270.0,top
C6,164.25,-94.5,180.0,top
C7,164.25,-105.5,0.0,top
D1,138.25,-94.5,270.0,top
D101,154.94,-106.934,0.0,top
D102,148.75,-100.0,0.0,top
D103,156.888,-101.6,180.0,top
D2,138.25,-94.5,270.0,bottom
J1,135.2804,-108.5,0.0,top
J101,150.0,-92.4,180.0,top
J102,168.25,-102.54,90.0,top
J2,139.725,-112.0,90.0,top
L101,150.4,-95.8,180.0,top
R1,145.5,-101.0,0.0,top
R101,145.8,-105.8,90.0,top
R102,153.043153,-94.756847,225.0,top
R106,145.043153,-93.956847,225.0,top
R107,159.25,-98.0,0.0,top
R2,136.398,-99.7712,0.0,top
R3,138.3284,-99.7712,0.0,top
R4,139.2936,-97.8408,180.0,top
R5,133.35,-104.5,90.0,top
R6,134.0104,-95.5548,270.0,top
R7,136.25,-95.25,180.0,top
R9,137.0,-113.575,270.0,top
RF1,139.8016,-101.2444,270.0,top
RF101,145.5,-102.0,0.0,top
U1,133.6548,-99.7712,90.0,top
U101,149.75,-107.0,180.0,top
U102,156.0,-96.0,45.0,top
U103,142.5,-101.75,180.0,top
U104,142.2,-97.0,270.0,top
