Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C5",0402,2,100n,C307331
"C101, C102, C103, C107, C112, C113, C114",0603,7,4u7,C19666
C104,0402,1,10n,C15195
"C105, C106, C108, C109",0603,4,100n,C14663
C115,0402,1,0.6p,C2857968
"C3, C4",0402,2,1n,C1523
"C6, C7",NFM21C,2,NFM21PC105B1C3D,C92518
"D1, D2",0201,2,LED,C2286
"D101, D103",D_SOD-323F,2,D,C191023
D102,TO-18-3,1,S597x,
"J1, J101",MMCX_Molex_73415-1471_Vertical,2,Conn_Coaxial,C530664
J102,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
L101,0805,1,100u,C68035
R1,0402,1,10R,C25077
"R101, R107",0603,2,51k,C25794
R102,0603,1,300R,C25102
"R106, R5",0402,2,49.9R,C25120
"R2, R3",0402,2,16k,C3015838
R4,0402,1,100,C25076
R6,0402,1,470,C25117
RF1,0402,1,0R,C17168
RF101,0402,1,1.2k,C25862
"TP101, TP102",TestPoint_THTPad_D1.0mm_Drill0.5mm,2,TestPoint,
U1,MSOP-8_3x3mm_P0.65mm,1,AD8656,C208582
U101,MSOP-10-1EP_3x3mm_P0.5mm_EP1.68x1.88mm,1,LT3042xMSE,C461518
U102,MSOP-12-1EP_3x4mm_P0.65mm_EP1.65x2.85mm,1,LT3093xMSE,C670481
U103,WSON-8-1EP_3x3mm_P0.5mm_EP1.45x2.4mm,1,OPA818IDRGx,C2859543
U104,SOT-23-5,1,BUF602xDBV,C2862949
